TIMESTAMPms	M202RAWIMUxacc	M202RAWIMUxmag	M202RAWIMUyacc	M202RAWIMUymag	M202RAWIMUzacc	M202RAWIMUzmag
188	-192	-280	128	331	-3648	-167
288	-128	-281	128	336	-3648	-168
388	-192	-280	128	340	-3584	-165
488	-192	-282	192	335	-3584	-170
588	-192	-285	128	336	-3584	-168
688	-128	-284	128	338	-3584	-173
788	-128	-279	128	338	-3648	-169
888	-192	-280	192	334	-3584	-166
984	-192	-283	128	336	-3584	-168
1088	-128	-281	128	338	-3584	-174
1188	-128	-282	128	335	-3584	-167
1288	-128	-283	192	338	-3648	-166
1388	-192	-282	192	336	-3584	-173
1488	-128	-284	192	296	-3520	-165
1588	-192	-280	128	334	-3584	-167
1688	-192	-281	192	337	-3584	-166
1788	-192	-280	192	338	-3584	-174
1888	-192	-283	128	335	-3584	-169
1984	-128	-283	128	340	-3584	-168
2088	-192	-283	128	341	-3584	-172
2188	-192	-281	128	336	-3584	-171
2288	-192	-282	128	335	-3648	-169
2388	-192	-283	192	335	-3584	-169
2488	-192	-288	128	343	-3584	-168
2588	-192	-283	128	341	-3648	-172
2688	-192	-284	128	341	-3584	-169
2788	-64	-287	128	340	-3584	-168
2888	-128	-285	128	341	-3648	-166
2984	-192	-283	192	340	-3584	-173
3088	-192	-288	128	335	-3584	-170
3188	-192	-290	128	342	-3648	-172
3288	-192	-284	128	340	-3584	-175
3388	-192	-284	128	338	-3648	-166
3488	-192	-288	128	338	-3584	-176
3588	-192	-290	64	340	-3584	-167
3688	-128	-284	192	272	-3648	-189
3788	-192	-289	128	330	-3584	-169
3888	-192	-287	128	336	-3584	-167
3984	-192	-287	192	340	-3584	-175
4092	-256	-288	128	335	-3584	-160
4192	-192	-289	192	332	-3584	-168
4292	-192	-290	192	334	-3648	-168
4392	-192	-288	192	338	-3584	-173
4484	-192	-286	128	336	-3584	-174
4584	-128	-287	128	334	-3584	-168
4684	-192	-286	128	334	-3584	-175
4784	-192	-289	128	333	-3648	-168
4888	-128	-286	64	328	-3584	-168
5000	-192	-294	128	335	-3648	-173
5088	-192	-288	192	333	-3648	-174
5188	-192	-286	128	336	-3584	-157
5288	-128	-290	128	333	-3648	-166
5388	-192	-294	128	332	-3584	-169
5488	-128	-287	128	314	-3520	-185
5588	-128	-289	192	332	-3584	-166
