TIMESTAMPms	M10RAWIMUxacc	M10RAWIMUxmag	M10RAWIMUyacc	M10RAWIMUymag	M10RAWIMUzacc	M10RAWIMUzmag
200	-64	27	-256	-556	-3840	275
300	-128	39	-256	-593	-3840	218
400	-128	32	-320	-556	-3840	274
500	-128	33	-320	-557	-3840	274
600	-64	36	-256	-566	-3840	275
700	-128	36	-320	-555	-3840	276
800	-128	36	-320	-547	-3840	244
900	-128	35	-256	-556	-3776	275
1000	-128	41	-256	-588	-3840	216
1100	-128	34	-256	-556	-3840	272
1200	-128	33	-320	-559	-3904	276
1300	-128	45	-320	-643	-3840	237
1400	-64	36	-320	-556	-3840	273
1500	-128	31	-320	-556	-3840	273
1600	-64	35	-320	-555	-3904	276
1700	-128	29	-256	-557	-3840	276
1800	-128	39	-320	-588	-3840	250
1900	-64	32	-256	-557	-3840	275
2000	-128	41	-192	-600	-3840	254
2100	-128	37	-256	-564	-3840	276
2200	-128	36	-320	-557	-3840	275
2292	-128	41	-256	-601	-3840	253
2400	-128	35	-320	-555	-3904	275
2500	-128	36	-320	-556	-3840	274
2600	-64	37	-256	-556	-3840	276
2692	-128	37	-256	-563	-3840	274
2800	-128	36	-256	-554	-3840	272
2900	-128	36	-256	-555	-3840	264
3000	-64	42	-320	-586	-3840	265
3100	-128	36	-256	-556	-3840	267
3200	-128	37	-320	-556	-3840	267
3300	-64	38	-320	-593	-3840	261
3400	-192	30	-64	-603	-3904	235
3500	-64	24	192	-620	-3776	224
3600	-64	25	192	-625	-3904	220
3700	-128	25	384	-655	-3840	191
3800	-64	28	640	-739	-3840	151
3900	-64	22	896	-703	-3904	133
4000	-64	24	1152	-731	-3648	102
4100	0	27	1664	-761	-3648	38
4200	0	27	1920	-774	-3264	2
4300	0	26	2432	-792	-3136	-105
4400	0	30	3008	-795	-2560	-173
4500	64	29	3392	-774	-1984	-285
4600	0	31	3712	-759	-1472	-328
4700	0	32	3904	-723	-1216	-397
4800	0	39	3968	-739	-576	-462
4900	64	37	4032	-657	-192	-492
5000	0	39	4032	-622	192	-515
5100	64	43	4096	-606	256	-545
5200	-64	47	3840	-582	896	-569
5300	-64	49	4032	-521	1024	-601
5400	0	54	3968	-494	1280	-630
5500	64	58	3776	-412	1792	-661
5600	-64	63	3712	-369	2176	-679
5700	0	70	3328	-282	2624	-693
5800	0	73	3072	-290	2944	-699
5900	-64	79	3008	-194	2944	-702
6000	0	75	2560	-161	3968	-701
6100	-64	87	2368	-54	3712	-694
6200	0	84	1856	-5	3840	-683
6300	-64	97	1344	113	4096	-641
6400	-128	99	704	170	4224	-612
6500	-128	109	128	268	4288	-541
6600	-128	110	-512	308	4224	-492
6700	-128	115	-1152	373	4160	-402
6800	-128	113	-1664	388	3904	-347
6900	-128	117	-2112	422	3520	-248
7000	-384	113	-2624	424	3008	-205
7100	-256	112	-2880	426	2816	-140
7200	-192	111	-3136	419	2496	-87
7296	-192	107	-3456	388	1984	15
7400	-192	105	-3648	360	1728	69
7500	-192	99	-3840	310	1216	147
7600	-192	96	-3904	278	576	183
7700	-192	90	-3904	182	0	257
7800	-192	84	-3904	148	-384	292
7900	-192	78	-3648	66	-1024	313
8000	-192	75	-3520	35	-1600	335
8100	-128	75	-3456	-10	-1792	344
8200	-128	69	-3264	-66	-1984	365
8300	-128	62	-2944	-162	-2432	370
8400	-192	60	-2688	-206	-2752	378
8500	-128	44	-2176	-321	-3136	368
8600	-128	48	-1664	-378	-3520	354
8700	-128	35	-1216	-484	-3648	317
8800	-128	33	-640	-536	-3840	288
8900	-128	26	0	-633	-4032	213
9000	-64	30	384	-667	-3968	179
9100	0	28	896	-706	-3776	130
9200	-64	25	1216	-723	-3776	104
9300	-64	23	1600	-762	-3520	25
9400	-64	24	2112	-772	-3392	-13
9500	0	24	2496	-795	-3200	-92
9600	-64	24	2816	-790	-2816	-135
9700	0	26	3136	-791	-2496	-225
9800	0	29	3456	-773	-1984	-278
9900	0	31	3776	-748	-1472	-358
10000	0	35	3968	-723	-1088	-401
10100	0	39	4032	-664	-384	-486
10200	0	40	4032	-636	64	-516
10300	0	47	4032	-585	320	-559
10400	64	48	4096	-559	832	-580
10500	64	51	3840	-505	1216	-615
10600	0	54	3904	-473	1408	-631
10700	0	61	3840	-397	1792	-664
10800	64	65	3648	-341	2368	-684
10900	-64	74	3200	-219	2880	-712
11000	0	83	2752	-139	3328	-715
11100	0	92	2112	10	3776	-689
11192	-64	96	1536	54	3840	-677
11300	-64	102	896	157	4032	-627
11400	-64	103	448	197	4224	-602
11500	-64	102	-64	275	4288	-533
11600	-192	104	-448	314	4032	-494
11700	-192	109	-1152	381	4096	-389
11800	-192	108	-1792	406	3712	-335
11900	-192	111	-2304	426	3456	-204
12000	-128	112	-2880	425	2944	-133
12100	-128	106	-3392	369	2176	41
12200	-256	102	-3776	340	1216	92
12300	-192	98	-3840	293	768	161
12400	-192	97	-3904	256	256	202
12500	-320	87	-3904	188	-64	258
12600	-128	84	-3840	139	-384	276
12700	-192	77	-3648	18	-1152	346
12800	-128	72	-3328	-54	-1792	363
12900	-128	59	-2944	-178	-2432	378
12992	-192	51	-2560	-237	-2816	377
13100	-128	46	-2048	-371	-3264	358
13200	-128	44	-1536	-416	-3520	337
13300	-64	40	-896	-500	-3776	308
13400	-192	35	-640	-530	-3904	283
13500	-128	32	-320	-587	-3712	252
13600	0	23	64	-621	-4032	225
13700	-64	26	576	-689	-4032	152
13800	-64	20	1024	-713	-3840	113
13900	-128	25	1536	-759	-3584	22
14000	-64	25	2176	-781	-3328	-32
14100	0	25	2624	-792	-3008	-132
14200	64	27	3072	-798	-2688	-180
14300	0	28	3392	-773	-2176	-279
14400	-64	30	3712	-760	-1600	-338
14500	64	34	3904	-720	-1024	-407
14600	64	39	4032	-689	-512	-456
14700	64	42	4288	-622	-128	-540
14800	64	46	4160	-573	448	-570
14900	64	56	3968	-466	1280	-635
15000	-64	60	3776	-410	1856	-658
15100	64	71	3456	-284	2432	-698
15200	0	75	3136	-219	3008	-704
15300	64	87	2560	-62	3456	-709
15400	0	92	1856	-1	3904	-683
15500	0	96	1408	83	4032	-665
15600	-128	101	960	122	4096	-641
15700	-128	104	448	211	4288	-587
15800	-128	108	0	259	4224	-549
15900	-128	106	-512	331	4352	-470
16000	-128	113	-1088	367	4096	-417
16100	-128	108	-1664	412	3840	-305
16200	-192	117	-2240	422	3520	-243
16300	-128	111	-2880	416	2944	-105
16400	-256	110	-3264	411	2368	-53
16500	-192	107	-3520	376	2112	26
16600	-320	102	-3840	356	1728	81
16700	-192	99	-3840	288	832	164
16800	-192	93	-3840	249	256	210
16900	-192	85	-3840	150	-384	282
17000	-192	81	-3776	77	-896	312
17100	-128	66	-3456	-72	-1600	366
17200	-128	61	-2880	-163	-2432	375
17300	-128	51	-2496	-316	-2816	367
17400	-192	49	-1920	-358	-3264	358
17500	-64	33	-1536	-435	-3456	336
17600	-128	40	-1088	-470	-3712	313
17700	-64	36	-896	-517	-3712	290
17800	-64	35	-448	-550	-3904	270
17900	-128	33	-64	-597	-3776	237
17992	-64	35	64	-608	-3904	229
18100	-64	29	128	-627	-3904	215
18200	-64	29	192	-631	-3904	217
18300	-64	25	320	-625	-3968	223
18400	-128	26	192	-619	-3968	230
18500	-64	20	64	-620	-3904	233
18600	-128	4	64	-629	-3904	235
18700	0	-36	192	-645	-3840	233
18800	-64	-48	128	-649	-3904	232
18900	-64	-65	192	-656	-3840	231
19000	-128	-66	128	-661	-3840	231
19096	-64	-71	192	-677	-3904	215
19192	-64	-75	384	-695	-3904	201
19300	-64	-78	640	-704	-4096	189
19400	64	-78	640	-713	-3776	175
19500	128	-94	960	-760	-3776	108
19600	128	-100	1408	-783	-3648	68
19700	320	-110	1984	-814	-3392	-33
19800	512	-112	2368	-821	-3072	-74
19900	640	-112	2688	-825	-3008	-147
20000	704	-109	3072	-822	-2560	-186
20100	704	-103	3264	-810	-2176	-274
20200	768	-99	3712	-797	-2112	-314
20300	832	-86	3776	-761	-1216	-397
20400	896	-74	3904	-723	-640	-462
20500	896	-48	4032	-631	64	-554
20600	896	-26	3904	-569	896	-610
20700	832	14	3776	-423	1792	-670
20796	704	37	3392	-355	2240	-695
20900	576	73	2944	-232	2944	-706
21000	512	83	2496	-186	3392	-698
21100	448	115	2176	-96	3520	-695
21200	320	122	1728	-44	3904	-685
21300	128	166	1216	83	3968	-634
21400	0	181	512	141	4224	-601
21500	-128	215	-128	253	4288	-502
21600	-320	223	-832	285	4160	-445
21700	-512	237	-1536	345	3840	-343
21800	-512	242	-1920	362	3584	-240
21900	-832	240	-2816	370	3008	-117
22000	-1024	238	-3200	360	2496	-76
22100	-1024	225	-3392	327	2112	28
22200	-1024	216	-3584	298	1408	84
22300	-1152	191	-3776	225	768	185
22400	-1088	177	-3712	176	192	228
22500	-1088	143	-3712	61	-640	304
22600	-1152	122	-3520	-12	-1216	339
22692	-1024	101	-3136	-116	-1856	325
22800	-832	73	-2880	-175	-2368	379
22900	-832	52	-2624	-252	-2624	371
22992	-768	39	-2304	-299	-3008	378
23100	-640	4	-1856	-416	-3328	350
23200	-448	-12	-1344	-466	-3648	343
23300	-256	-50	-832	-579	-3712	283
23400	-192	-60	-192	-631	-3776	249
23500	0	-94	448	-735	-3840	142
23592	128	-98	1152	-773	-3840	76
23700	320	-109	1920	-809	-3392	-24
23800	448	-109	2368	-819	-3136	-68
23900	512	-111	2624	-832	-2880	-119
24000	704	-109	2880	-824	-2624	-155
24100	768	-107	3200	-829	-2432	-209
24200	640	-104	3264	-819	-2112	-229
24300	768	-100	3392	-810	-1856	-275
24400	768	-96	3584	-794	-1600	-317
24500	832	-84	3712	-755	-1088	-413
24600	832	-73	3904	-730	-576	-448
24700	896	-56	4032	-662	-192	-527
24800	896	-43	3968	-628	384	-552
24900	896	-14	3904	-533	1088	-632
25000	768	9	3776	-525	1536	-677
25100	704	19	3584	-417	2048	-684
25200	768	32	3392	-368	2432	-696
25300	640	63	3136	-272	2816	-708
25400	448	78	2752	-221	3264	-710
25500	384	108	2304	-108	3520	-700
25600	320	120	1792	-49	3840	-686
25700	128	158	1216	76	4032	-639
25800	64	171	576	128	4224	-609
25900	-64	192	64	194	4288	-561
26000	-128	205	-192	153	4288	-563
26100	-256	217	-576	274	4224	-471
26200	-384	225	-1024	297	4096	-436
26300	-576	234	-1408	328	3840	-368
26400	-640	239	-1792	346	3904	-338
26500	-640	243	-2048	356	3584	-271
26600	-704	244	-2368	365	3328	-226
26700	-832	241	-2752	367	2944	-120
26800	-960	236	-3072	360	2496	-67
26892	-960	231	-3328	343	2048	-15
27000	-1024	223	-3584	266	1216	54
27100	-1088	204	-3648	252	960	153
27200	-1152	191	-3776	213	448	194
27300	-1088	160	-3776	110	-64	279
27400	-1024	141	-3584	50	-896	305
27500	-1024	97	-3328	-94	-1600	366
27600	-832	77	-2944	-170	-2240	369
27700	-768	35	-2432	-311	-2880	377
27800	-512	24	-1856	-349	-3456	364
27900	-512	-6	-1664	-441	-3456	351
27992	-384	-23	-1280	-489	-3584	334
28100	-256	-46	-640	-592	-3712	280
28200	-128	-69	-128	-646	-3840	237
28292	0	-84	512	-696	-3904	191
28400	128	-99	1152	-767	-3648	79
28500	320	-104	1920	-813	-3456	-25
28600	448	-110	2304	-826	-3136	-63
28700	384	-109	2560	-825	-2816	-150
28800	640	-108	3072	-829	-2560	-184
28900	768	-103	3200	-813	-2112	-260
29000	768	-101	3456	-805	-1792	-294
29100	832	-89	3712	-766	-1344	-378
29200	768	-81	3840	-741	-832	-425
29300	896	-54	3968	-706	-128	-474
29400	896	-40	3968	-614	384	-567
29500	896	-27	3904	-561	1088	-603
29600	832	1	3712	-480	1664	-648
29700	768	16	3520	-434	2112	-675
29800	704	43	3200	-335	2688	-694
29896	640	58	2944	-284	3008	-707
30000	512	91	2560	-167	3392	-706
30100	384	105	2048	-110	3776	-698
30200	128	154	1344	44	4032	-653
30300	0	167	576	111	4160	-621
30400	-64	195	0	190	4224	-562
30500	-192	202	-384	228	4224	-528
30600	-320	224	-896	289	4096	-450
30700	-512	232	-1408	313	3968	-402
30800	-640	240	-1856	356	3776	-309
30900	-704	242	-2368	360	3328	-246
31000	-896	246	-2816	340	2816	-152
31100	-960	239	-3136	354	2368	-73
31200	-1024	223	-3456	319	1664	51
31300	-1152	212	-3584	279	1024	102
31400	-1088	190	-3776	206	448	204
31500	-960	176	-3776	164	-128	237
31600	-1024	152	-3648	92	-576	284
31700	-1024	139	-3520	39	-1088	314
31800	-960	105	-3264	-69	-1728	359
31900	-896	84	-2944	-138	-2240	371
32000	-768	42	-2496	-284	-2752	382
32100	-640	22	-1920	-354	-3200	372
32200	-512	-6	-1472	-450	-3456	351
32300	-384	-16	-1152	-479	-3648	337
32400	-256	-31	-896	-537	-3904	305
32500	-320	-40	-512	-570	-3776	293
32600	-128	-53	-128	-616	-3840	253
32700	-64	-58	0	-632	-3840	251
32800	-128	-64	128	-650	-3968	226
32900	-64	-63	256	-657	-3840	231
33000	-64	-62	192	-646	-3840	229
33100	-64	-64	128	-648	-3840	237
33200	-64	-70	192	-652	-3904	232
33300	-64	-66	192	-656	-3840	231
33400	128	-97	256	-665	-3840	226
33500	-192	-103	320	-667	-3520	225
33600	-256	-140	256	-669	-4032	228
33700	0	-143	128	-669	-3904	228
33800	64	-151	256	-670	-3904	224
33900	64	-148	256	-674	-3840	223
34000	-320	-149	320	-691	-3840	211
34100	64	-152	512	-693	-3904	203
34200	128	-170	704	-740	-3840	156
34300	384	-184	1152	-760	-3648	110
34400	640	-203	1856	-817	-3392	-16
34500	896	-206	2240	-819	-3072	-49
34600	960	-209	2560	-831	-2880	-108
34692	1024	-208	2752	-826	-2560	-143
34800	1216	-201	3072	-817	-2176	-248
34900	1344	-196	3328	-808	-1536	-286
35000	1344	-182	3584	-776	-1216	-368
35100	1408	-171	3712	-750	-640	-414
35200	1472	-140	3776	-689	-128	-501
35300	1472	-118	3840	-647	512	-547
35400	1472	-62	3712	-526	1152	-636
35500	1344	-32	3328	-456	2112	-668
35600	1152	24	3072	-335	2624	-703
35700	960	50	2752	-283	3136	-712
35800	832	88	2304	-193	3456	-710
35896	512	118	2048	-136	3648	-700
36000	384	168	1344	-23	3904	-666
36100	128	196	704	36	4096	-640
36200	0	238	192	139	4352	-565
36300	-320	259	-448	191	4288	-510
36400	-640	294	-1152	260	4032	-399
36500	-832	295	-1664	285	3776	-355
36600	-1024	303	-1920	304	3520	-293
36700	-1152	312	-2240	303	3392	-254
36800	-1280	313	-2496	311	2944	-171
36900	-1344	312	-2816	306	2560	-113
37000	-1472	297	-3136	287	2048	5
37092	-1600	282	-3392	251	1472	65
37200	-1728	237	-3584	155	448	199
37300	-1664	209	-3456	92	-384	254
37400	-1600	148	-3328	-32	-1088	330
37500	-1536	116	-3072	-86	-1728	349
37600	-1408	81	-2944	-174	-2112	371
37700	-1344	58	-2560	-226	-2368	380
37800	-960	-10	-1984	-374	-2944	371
37900	-768	-46	-1408	-452	-3520	359
38000	-384	-110	-640	-594	-3776	282
38100	-128	-133	64	-651	-3904	245
38200	128	-169	576	-729	-3840	156
38300	320	-178	960	-744	-3776	128
38400	512	-192	1472	-780	-3712	60
38500	704	-200	1920	-803	-3328	2
38600	896	-208	2496	-824	-2944	-137
38700	1152	-210	3008	-819	-2304	-202
38800	1344	-187	3392	-786	-1536	-345
38900	1472	-181	3648	-755	-832	-403
39000	1472	-144	3776	-696	-128	-493
39100	1600	-135	3776	-657	384	-529
39200	1536	-95	3776	-589	896	-590
39300	1472	-75	3584	-539	1472	-617
39400	1344	-20	3456	-437	1984	-668
39500	1152	3	3072	-379	2496	-680
39600	960	60	2752	-260	3072	-702
39700	768	83	2240	-207	3456	-731
39800	704	133	1856	-102	3840	-686
39900	448	149	1408	-47	3968	-702
40000	256	198	896	41	4160	-630
40100	-128	230	128	125	4352	-610
40200	-384	282	-576	236	4224	-450
40300	-768	299	-1344	277	3968	-417
40400	-960	313	-1984	309	3776	-265
40500	-1216	319	-2432	322	3136	-218
40600	-1472	308	-2944	303	2688	-81
40700	-1536	306	-3072	300	1856	-57
40800	-1536	291	-3264	279	1856	16
40900	-1664	287	-3392	262	1216	45
41000	-1728	253	-3520	209	832	142
41100	-1728	247	-3584	135	256	164
41200	-1728	206	-3520	104	-192	248
41300	-1600	196	-3328	27	-960	254
41396	-1600	154	-3392	-1	-1088	316
41500	-1536	142	-3264	-40	-1408	335
41600	-1408	91	-2944	-139	-2048	366
41692	-1408	83	-2752	-205	-2368	348
41800	-1152	36	-2432	-274	-2688	380
41900	-1024	13	-2048	-365	-3136	333
42000	-832	-46	-1536	-457	-3456	353
42100	-640	-63	-1024	-533	-3712	309
42200	-384	-111	-512	-595	-3776	283
42300	-128	-118	-64	-665	-3840	202
