Rate,Torque
0,0
-0.00601248,-0.00601465
1.53234e-06,1.53295e-06
1.50413e-06,1.50473e-06
2.17892e-05,2.02916e-05
1.5081e-06,1.50871e-06
1.48485e-06,1.48544e-06
2.80007e-05,2.6527e-05
7.65045e-07,7.65204e-07
7.33443e-06,6.57076e-06
1.45192e-06,1.4525e-06
1.4433e-06,1.44388e-06
1.43076e-06,1.43133e-06
3.87673e-07,3.87715e-07
5.5357e-06,5.1497e-06
1.39823e-06,1.39878e-06
1.38755e-06,1.3881e-06
1.38148e-06,1.38203e-06
1.34016e-06,1.34068e-06
1.36096e-06,1.3615e-06
2.66108e-05,2.52604e-05
1.04306e-06,1.04338e-06
2.07361e-05,1.97014e-05
1.31024e-06,1.31075e-06
2.59517e-05,2.46518e-05
6.95024e-07,6.95171e-07
6.06683e-07,6.06796e-07
1.29432e-06,1.29484e-06
2.58532e-05,2.45691e-05
1.2528e-06,1.25329e-06
3.65392e-07,3.65434e-07
5.41011e-06,5.04631e-06
1.24475e-06,1.24525e-06
2.53268e-05,2.40921e-05
1.23008e-06,1.23057e-06
2.44191e-05,2.31983e-05
1.21006e-06,1.21054e-06
2.51795e-05,2.39794e-05
9.48585e-07,9.48885e-07
1.19201e-06,1.19249e-06
1.17245e-06,1.17292e-06
1.162e-06,1.16246e-06
6.29348e-07,6.29484e-07
5.23176e-07,5.23271e-07
1.14948e-06,1.14993e-06
2.44677e-05,2.33279e-05
1.13211e-06,1.13256e-06
3.36973e-07,3.37013e-07
5.19411e-06,4.85864e-06
1.11419e-06,1.11463e-06
1.10283e-06,1.10327e-06
1.09189e-06,1.09232e-06
2.26506e-05,2.15673e-05
1.08019e-06,1.08062e-06
2.37336e-05,2.26629e-05
8.54563e-07,8.54836e-07
1.05996e-06,1.06039e-06
1.03048e-06,1.03089e-06
2.29352e-05,2.19139e-05
5.55624e-07,5.55743e-07
4.5534e-07,4.5542e-07
1.02305e-06,1.02345e-06
2.30724e-05,2.20586e-05
1.00479e-06,1.00519e-06
3.10134e-07,3.10173e-07
6.83908e-07,6.84096e-07
9.91413e-07,9.91808e-07
9.83034e-07,9.83426e-07
9.70816e-07,9.71201e-07
9.03186e-07,9.03522e-07
9.6056e-07,9.60943e-07
9.44079e-07,9.44452e-07
1.82389e-05,1.73007e-05
9.42285e-07,9.42662e-07
2.21678e-05,2.12344e-05
9.17099e-07,9.17462e-07
5.2484e-07,5.2496e-07
3.83901e-07,3.83966e-07
9.08846e-07,9.09208e-07
2.17e-05,2.07998e-05
8.94873e-07,8.9523e-07
3.07365e-07,3.07407e-07
5.79401e-07,5.79552e-07
8.8159e-07,8.81942e-07
2.13691e-05,2.0496e-05
8.64329e-07,8.64673e-07
7.75495e-07,7.75773e-07
1.89999e-05,1.8232e-05
8.38593e-07,8.38924e-07
7.10768e-07,7.11008e-07
1.76734e-05,1.69698e-05
8.2747e-07,8.27799e-07
8.21514e-07,8.21842e-07
1.28701e-05,1.20515e-05
3.16342e-07,3.16391e-07
7.9799e-06,7.66682e-06
8.00448e-07,8.00766e-07
2.03109e-05,1.95185e-05
2.99962e-07,3.00007e-07
4.86332e-06,4.56458e-06
7.83455e-07,7.83768e-07
2.00423e-05,1.92668e-05
7.70841e-07,7.71148e-07
1.73895e-05,1.66247e-05
7.5922e-07,7.59523e-07
7.4865e-07,7.48946e-07
6.60446e-07,6.60679e-07
1.73798e-05,1.67263e-05
7.36041e-07,7.36335e-07
7.29274e-07,7.29564e-07
4.56334e-07,4.56449e-07
2.62145e-07,2.62183e-07
7.19215e-07,7.19502e-07
1.92393e-05,1.85278e-05
6.95727e-07,6.96e-07
7.71162e-06,7.01693e-06
4.27343e-07,4.27447e-07
1.1573e-05,1.11503e-05
6.88693e-07,6.88967e-07
6.84264e-07,6.84536e-07
1.61499e-05,1.54712e-05
6.72994e-07,6.73262e-07
6.69341e-07,6.69607e-07
1.65036e-05,1.58401e-05
6.62128e-07,6.62393e-07
1.84459e-05,1.77911e-05
6.35967e-07,6.36216e-07
1.17861e-05,1.11531e-05
2.21955e-07,2.21986e-07
6.28093e-06,6.06154e-06
6.31203e-07,6.31453e-07
6.23996e-07,6.24243e-07
2.5511e-07,2.55152e-07
3.63054e-07,3.63138e-07
1.0416e-05,1.00572e-05
6.09448e-07,6.09689e-07
1.755e-05,1.69476e-05
5.01879e-07,5.02045e-07
1.45109e-05,1.40148e-05
5.90381e-07,5.90614e-07
5.43186e-07,5.43385e-07
5.88951e-07,5.89187e-07
1.57871e-05,1.52038e-05
5.73936e-07,5.74164e-07
3.85644e-07,3.85747e-07
3.93817e-06,3.55298e-06
5.6762e-07,5.67846e-07
1.68036e-05,1.62426e-05
5.58388e-07,5.5861e-07
2.4262e-07,2.42662e-07
3.11475e-07,3.11545e-07
9.45553e-06,9.14789e-06
5.46408e-07,5.46626e-07
5.40297e-07,5.40512e-07
1.34998e-05,1.29638e-05
5.29735e-07,5.29945e-07
1.6142e-05,1.56186e-05
4.90018e-07,4.902e-07
5.23968e-07,5.24178e-07
5.13812e-07,5.14015e-07
5.0834e-07,5.08541e-07
3.54602e-07,3.547e-07
1.51028e-07,1.51046e-07
5.02137e-07,5.02336e-07
1.58298e-05,1.53339e-05
4.93715e-07,4.9391e-07
2.25938e-07,2.2598e-07
3.98369e-06,3.75861e-06
4.86321e-07,4.86514e-07
4.82483e-07,4.82674e-07
1.55622e-05,1.50859e-05
3.7478e-07,3.74897e-07
1.2123e-05,1.1753e-05
4.66145e-07,4.66329e-07
4.49925e-07,4.50098e-07
1.48403e-05,1.43964e-05
4.5562e-07,4.558e-07
1.49811e-05,1.45314e-05
3.34839e-07,3.34938e-07
1.13355e-07,1.13366e-07
4.46847e-07,4.47024e-07
1.49137e-05,1.44728e-05
4.41349e-07,4.41524e-07
2.22881e-07,2.22926e-07
2.132e-07,2.13241e-07
4.28816e-07,4.28984e-07
4.29581e-07,4.29752e-07
1.46948e-05,1.42711e-05
1.13202e-07,1.13214e-07
3.11866e-07,3.11957e-07
1.07286e-05,1.04211e-05
4.17135e-07,4.173e-07
1.44884e-05,1.40771e-05
4.03496e-07,4.03653e-07
1.41277e-05,1.37298e-05
4.05702e-07,4.05864e-07
3.11427e-07,3.11523e-07
4.01302e-07,4.01462e-07
1.41735e-05,1.37778e-05
3.87139e-07,3.87291e-07
7.49193e-06,7.1063e-06
1.84258e-07,1.84293e-07
6.58205e-06,6.40043e-06
3.81603e-07,3.81754e-07
1.38219e-05,1.34458e-05
1.06141e-07,1.06153e-07
2.81736e-06,2.71205e-06
3.7446e-07,3.74609e-07
3.68687e-07,3.68833e-07
3.69212e-07,3.69359e-07
3.54972e-07,3.55109e-07
3.63546e-07,3.63691e-07
3.59027e-07,3.5917e-07
2.79172e-07,2.79259e-07
3.56919e-07,3.57062e-07
1.33799e-05,1.30283e-05
3.49759e-07,3.49898e-07
1.84196e-07,1.84235e-07
3.34507e-06,3.16149e-06
3.44669e-07,3.44806e-07
3.41669e-07,3.41806e-07
1.31012e-05,1.27647e-05
9.69775e-08,9.69886e-08
2.69387e-06,2.59767e-06
3.33823e-07,3.33956e-07
1.28781e-05,1.25494e-05
3.28289e-07,3.2842e-07
3.12935e-07,3.13055e-07
1.20706e-05,1.17624e-05
3.20011e-07,3.20139e-07
1.00291e-05,9.71225e-06
3.17298e-07,3.17425e-07
3.11307e-07,3.1143e-07
1.24497e-05,1.21434e-05
1.68323e-07,1.6836e-07
3.12402e-06,2.95625e-06
3.06497e-07,3.06619e-07
3.03677e-07,3.03798e-07
1.23318e-05,1.2033e-05
8.8992e-08,8.90025e-08
2.56015e-06,2.47189e-06
2.96644e-07,2.96762e-07
2.90005e-07,2.90119e-07
2.91393e-07,2.91509e-07
2.73317e-07,2.7342e-07
2.86334e-07,2.86448e-07
2.84996e-07,2.8511e-07
9.71742e-06,9.43554e-06
2.8203e-07,2.82143e-07
1.18663e-05,1.1589e-05
2.75677e-07,2.75787e-07
6.71539e-06,6.44117e-06
1.19638e-07,1.19659e-07
5.12106e-06,5.00349e-06
2.6881e-07,2.68916e-07
2.67757e-07,2.67864e-07
7.95845e-08,7.9594e-08
2.38446e-06,2.30553e-06
2.63816e-07,2.63922e-07
1.13472e-05,1.10878e-05
2.56657e-07,2.56758e-07
2.403e-07,2.4039e-07
1.05687e-05,1.03326e-05
2.53403e-07,2.53504e-07
9.16987e-06,8.91942e-06
2.50825e-07,2.50925e-07
2.47766e-07,2.47865e-07
2.45365e-07,2.45463e-07
6.38617e-06,6.14221e-06
1.03019e-07,1.03036e-07
4.67039e-06,4.56926e-06
2.4005e-07,2.40146e-07
1.09372e-05,1.07015e-05
